Date,Adj Close,Close,High,Low,Open,Volume,company_name,20EMA,50SMA,RSI,VIX
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,^VIX
2012-01-03 00:00:00+00:00,12.4,14.69,14.73,14.61,14.62,302220800,AAPL,14.69,,,22.97
2012-01-04 00:00:00+00:00,12.47,14.77,14.81,14.62,14.64,260022000,AAPL,14.69,,,22.22
2012-01-05 00:00:00+00:00,12.61,14.93,14.95,14.74,14.82,271269600,AAPL,14.72,,,21.48
2012-01-06 00:00:00+00:00,12.74,15.09,15.1,14.97,14.99,318292800,AAPL,14.75,,,20.63
2012-01-09 00:00:00+00:00,12.72,15.06,15.28,15.05,15.2,394024400,AAPL,14.78,,,21.07
2012-01-10 00:00:00+00:00,12.76,15.12,15.21,15.05,15.21,258196400,AAPL,14.81,,,20.69
2012-01-11 00:00:00+00:00,12.74,15.09,15.1,14.98,15.1,215084800,AAPL,14.84,,,21.05
2012-01-12 00:00:00+00:00,12.71,15.05,15.1,14.96,15.08,212587200,AAPL,14.86,,,20.47
2012-01-13 00:00:00+00:00,12.66,14.99,15.02,14.95,14.99,226021600,AAPL,14.87,,,20.91
2012-01-17 00:00:00+00:00,12.81,15.17,15.21,15.11,15.15,242897200,AAPL,14.9,,,22.2
2012-01-18 00:00:00+00:00,12.94,15.33,15.34,15.23,15.25,276791200,AAPL,14.94,,,20.89
2012-01-19 00:00:00+00:00,12.9,15.28,15.41,15.23,15.36,261738400,AAPL,14.97,,,19.87
2012-01-20 00:00:00+00:00,12.68,15.01,15.27,14.99,15.27,413974400,AAPL,14.98,,,18.28
2012-01-23 00:00:00+00:00,12.89,15.26,15.3,15.08,15.1,306062400,AAPL,15.0,,69.26,18.67
2012-01-24 00:00:00+00:00,12.68,15.01,15.18,14.98,15.18,547638000,AAPL,15.01,,59.37,18.91
2012-01-25 00:00:00+00:00,13.47,15.95,16.23,15.85,16.23,958314000,AAPL,15.1,,72.74,18.31
2012-01-26 00:00:00+00:00,13.41,15.88,16.03,15.83,16.01,323985200,AAPL,15.17,,68.87,18.57
2012-01-27 00:00:00+00:00,13.49,15.97,16.02,15.85,15.87,299709200,AAPL,15.25,,68.09,18.53
2012-01-30 00:00:00+00:00,13.66,16.18,16.21,15.91,15.92,379341200,AAPL,15.34,,71.19,19.4
2012-01-31 00:00:00+00:00,13.77,16.3,16.37,16.18,16.27,391683600,AAPL,15.43,,71.93,19.44
2012-02-01 00:00:00+00:00,13.76,16.29,16.39,16.27,16.37,270046000,AAPL,15.51,,72.31,18.55
2012-02-02 00:00:00+00:00,13.73,16.25,16.33,16.21,16.28,186796400,AAPL,15.58,,72.4,17.98
2012-02-03 00:00:00+00:00,13.86,16.42,16.43,16.27,16.33,286599600,AAPL,15.66,,75.47,17.1
2012-02-06 00:00:00+00:00,13.99,16.57,16.61,16.36,16.37,249412800,AAPL,15.75,,75.28,17.76
2012-02-07 00:00:00+00:00,14.14,16.74,16.78,16.59,16.62,316223600,AAPL,15.84,,75.42,17.65
2012-02-08 00:00:00+00:00,14.38,17.02,17.03,16.77,16.8,407890000,AAPL,15.95,,78.92,18.16
2012-02-09 00:00:00+00:00,14.87,17.61,17.74,17.16,17.17,884214800,AAPL,16.11,,88.91,18.63
2012-02-10 00:00:00+00:00,14.88,17.62,17.77,17.45,17.53,631302000,AAPL,16.26,,88.03,20.79
2012-02-13 00:00:00+00:00,15.16,17.95,17.99,17.75,17.84,517216000,AAPL,16.42,,96.19,19.04
2012-02-14 00:00:00+00:00,15.37,18.19,18.2,17.93,18.02,460398400,AAPL,16.59,,95.13,19.54
2012-02-15 00:00:00+00:00,15.01,17.77,18.8,17.75,18.37,1506120000,AAPL,16.7,,83.43,21.14
2012-02-16 00:00:00+00:00,15.15,17.94,18.03,17.38,17.55,944552000,AAPL,16.82,,83.81,19.22
2012-02-17 00:00:00+00:00,15.14,17.93,18.13,17.87,17.97,535805200,AAPL,16.92,,82.48,17.78
2012-02-21 00:00:00+00:00,15.53,18.39,18.39,18.0,18.1,605595200,AAPL,17.06,,84.4,18.19
2012-02-22 00:00:00+00:00,15.47,18.32,18.41,18.18,18.32,483302400,AAPL,17.18,,82.91,18.19
2012-02-23 00:00:00+00:00,15.57,18.44,18.49,18.2,18.4,568027600,AAPL,17.3,,84.56,16.8
2012-02-24 00:00:00+00:00,15.76,18.66,18.67,18.52,18.56,415072000,AAPL,17.43,,84.81,17.31
2012-02-27 00:00:00+00:00,15.86,18.78,18.88,18.44,18.62,547582000,AAPL,17.56,,84.65,18.19
2012-02-28 00:00:00+00:00,16.15,19.12,19.12,18.78,18.86,600387200,AAPL,17.71,,85.43,17.96
2012-02-29 00:00:00+00:00,16.36,19.37,19.56,19.13,19.34,952011200,AAPL,17.87,,85.3,18.43
2012-03-01 00:00:00+00:00,16.42,19.45,19.58,19.24,19.58,683270000,AAPL,18.02,,82.6,17.26
2012-03-02 00:00:00+00:00,16.44,19.47,19.53,19.38,19.44,431712400,AAPL,18.16,,82.7,17.29
2012-03-05 00:00:00+00:00,16.08,19.04,19.55,18.79,19.48,809124400,AAPL,18.24,,68.64,18.05
2012-03-06 00:00:00+00:00,15.99,18.94,19.06,18.44,18.7,810238800,AAPL,18.31,,63.33,20.87
2012-03-07 00:00:00+00:00,16.01,18.95,19.21,18.69,19.17,798520800,AAPL,18.37,,74.77,19.07
2012-03-08 00:00:00+00:00,16.35,19.36,19.39,19.0,19.1,516457200,AAPL,18.46,,77.09,17.95
2012-03-09 00:00:00+00:00,16.44,19.47,19.56,19.4,19.44,418919200,AAPL,18.56,,78.13,17.11
2012-03-12 00:00:00+00:00,16.65,19.71,19.71,19.54,19.61,407282400,AAPL,18.67,,76.31,15.64
2012-03-13 00:00:00+00:00,17.13,20.29,20.29,19.85,19.91,690855200,AAPL,18.82,,82.43,14.8
2012-03-14 00:00:00+00:00,17.78,21.06,21.24,20.55,20.64,1418844000,AAPL,19.04,17.15,85.52,15.31
2012-03-15 00:00:00+00:00,17.66,20.91,21.43,20.66,21.41,1159718000,AAPL,19.21,17.27,81.25,15.42
2012-03-16 00:00:00+00:00,17.66,20.91,21.04,20.64,20.88,825487600,AAPL,19.38,17.39,80.61,14.47
2012-03-19 00:00:00+00:00,18.13,21.47,21.49,21.04,21.37,901236000,AAPL,19.58,17.52,81.71,15.04
2012-03-20 00:00:00+00:00,18.28,21.64,21.67,21.12,21.41,816662000,AAPL,19.77,17.65,81.32,15.58
2012-03-21 00:00:00+00:00,18.17,21.52,21.77,21.48,21.53,644042000,AAPL,19.94,17.78,78.22,15.13
2012-03-22 00:00:00+00:00,18.08,21.41,21.59,21.27,21.35,623870800,AAPL,20.08,17.91,75.72,15.57
2012-03-23 00:00:00+00:00,17.98,21.29,21.49,21.23,21.45,430488800,AAPL,20.19,18.03,82.57,14.82
2012-03-26 00:00:00+00:00,18.31,21.68,21.68,21.26,21.42,595742000,AAPL,20.33,18.17,86.68,14.26
2012-03-27 00:00:00+00:00,18.53,21.95,22.01,21.65,21.65,607129600,AAPL,20.49,18.31,87.52,15.59
2012-03-28 00:00:00+00:00,18.63,22.06,22.19,21.8,22.08,655460400,AAPL,20.64,18.44,86.54,15.47
2012-03-29 00:00:00+00:00,18.39,21.78,22.02,21.69,21.89,608238400,AAPL,20.75,18.57,79.93,15.48
2012-03-30 00:00:00+00:00,18.08,21.41,21.81,21.35,21.74,731038000,AAPL,20.81,18.69,71.31,15.5
2012-04-02 00:00:00+00:00,18.66,22.09,22.1,21.44,21.49,598351600,AAPL,20.93,18.84,72.06,15.64
2012-04-03 00:00:00+00:00,18.98,22.48,22.58,22.23,22.4,834559600,AAPL,21.08,18.98,69.15,15.66
2012-04-04 00:00:00+00:00,18.83,22.3,22.35,22.04,22.3,572980800,AAPL,21.2,19.13,68.5,16.44
2012-04-05 00:00:00+00:00,19.11,22.63,22.67,22.26,22.39,641298000,AAPL,21.33,19.26,71.08,16.7
2012-04-09 00:00:00+00:00,19.19,22.72,22.85,22.33,22.36,597536800,AAPL,21.46,19.4,67.37,18.81
2012-04-10 00:00:00+00:00,18.95,22.44,23.0,22.36,22.85,889725200,AAPL,21.56,19.53,60.8,20.39
2012-04-11 00:00:00+00:00,18.89,22.36,22.75,22.26,22.72,696614800,AAPL,21.63,19.65,61.53,20.02
2012-04-12 00:00:00+00:00,18.78,22.24,22.55,22.16,22.32,614336800,AAPL,21.69,19.77,61.36,17.2
2012-04-13 00:00:00+00:00,18.25,21.62,22.31,21.55,22.29,859644800,AAPL,21.69,19.88,53.91,19.55
2012-04-16 00:00:00+00:00,17.5,20.72,21.8,20.65,21.79,1050786800,AAPL,21.59,19.96,39.79,19.55
2012-04-17 00:00:00+00:00,18.39,21.77,21.79,20.43,20.68,1025528000,AAPL,21.61,20.07,48.44,18.46
2012-04-18 00:00:00+00:00,18.35,21.73,22.15,21.53,21.92,954531200,AAPL,21.62,20.17,46.94,18.64
2012-04-19 00:00:00+00:00,17.72,20.98,21.6,20.88,21.44,834719200,AAPL,21.56,20.26,43.2,18.36
2012-04-20 00:00:00+00:00,17.28,20.46,21.24,20.37,21.12,1030985200,AAPL,21.46,20.33,42.14,17.44
2012-04-23 00:00:00+00:00,17.24,20.42,20.6,19.88,20.38,966529200,AAPL,21.36,20.38,34.49,18.97
2012-04-24 00:00:00+00:00,16.9,20.01,20.27,19.82,20.09,1076149200,AAPL,21.23,20.43,27.29,18.1
2012-04-25 00:00:00+00:00,18.4,21.79,22.07,21.64,21.99,905777600,AAPL,21.28,20.51,46.36,16.82
2012-04-26 00:00:00+00:00,18.33,21.7,21.95,21.5,21.94,536068400,AAPL,21.32,20.58,43.15,16.24
2012-04-27 00:00:00+00:00,18.19,21.54,21.65,21.45,21.61,406722400,AAPL,21.34,20.65,41.34,16.32
