Date,Adj Close,Close,High,Low,Open,Volume,company_name,20EMA,50SMA,RSI,VIX
,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,,,,,^VIX
2012-01-03 00:00:00+00:00,8.95,8.95,8.97,8.78,8.79,102216000,AMZN,8.95,,,22.97
2012-01-04 00:00:00+00:00,8.88,8.88,9.02,8.8,8.96,84104000,AMZN,8.94,,,22.22
2012-01-05 00:00:00+00:00,8.88,8.88,8.91,8.7,8.8,76182000,AMZN,8.94,,,21.48
2012-01-06 00:00:00+00:00,9.13,9.13,9.23,8.88,8.9,140168000,AMZN,8.96,,,20.63
2012-01-09 00:00:00+00:00,8.93,8.93,9.22,8.85,9.14,101138000,AMZN,8.95,,,21.07
2012-01-10 00:00:00+00:00,8.97,8.97,9.12,8.85,9.06,79716000,AMZN,8.96,,,20.69
2012-01-11 00:00:00+00:00,8.94,8.94,9.04,8.91,8.98,62054000,AMZN,8.95,,,21.05
2012-01-12 00:00:00+00:00,8.8,8.8,8.97,8.79,8.97,107716000,AMZN,8.94,,,20.47
2012-01-13 00:00:00+00:00,8.92,8.92,8.94,8.68,8.79,95070000,AMZN,8.94,,,20.91
2012-01-17 00:00:00+00:00,9.08,9.08,9.16,8.93,9.01,112890000,AMZN,8.95,,,22.2
2012-01-18 00:00:00+00:00,9.47,9.47,9.51,9.06,9.1,149470000,AMZN,9.0,,,20.89
2012-01-19 00:00:00+00:00,9.72,9.72,9.8,9.52,9.54,141920000,AMZN,9.07,,,19.87
2012-01-20 00:00:00+00:00,9.55,9.55,9.65,9.45,9.54,112206000,AMZN,9.11,,,18.28
2012-01-23 00:00:00+00:00,9.3,9.3,9.59,9.26,9.54,91706000,AMZN,9.13,,58.46,18.67
2012-01-24 00:00:00+00:00,9.35,9.35,9.42,9.19,9.25,93476000,AMZN,9.15,,59.34,18.91
2012-01-25 00:00:00+00:00,9.39,9.39,9.41,9.23,9.35,86128000,AMZN,9.18,,62.27,18.31
2012-01-26 00:00:00+00:00,9.67,9.67,9.74,9.44,9.47,117472000,AMZN,9.22,,66.59,18.57
2012-01-27 00:00:00+00:00,9.77,9.77,9.82,9.62,9.65,93180000,AMZN,9.27,,64.37,18.53
2012-01-30 00:00:00+00:00,9.61,9.61,9.75,9.51,9.68,108482000,AMZN,9.31,,65.6,19.4
2012-01-31 00:00:00+00:00,9.72,9.72,9.78,9.48,9.7,255444000,AMZN,9.35,,66.75,19.44
2012-02-01 00:00:00+00:00,8.97,8.97,9.0,8.6,8.69,426732000,AMZN,9.31,,50.47,18.55
2012-02-02 00:00:00+00:00,9.09,9.09,9.1,8.84,8.98,174726000,AMZN,9.29,,54.91,17.98
2012-02-03 00:00:00+00:00,9.38,9.38,9.4,9.09,9.14,162410000,AMZN,9.3,,57.42,17.1
2012-02-06 00:00:00+00:00,9.16,9.16,9.33,9.15,9.31,106200000,AMZN,9.28,,51.16,17.76
2012-02-07 00:00:00+00:00,9.21,9.21,9.25,9.1,9.13,102078000,AMZN,9.28,,45.39,17.65
2012-02-08 00:00:00+00:00,9.27,9.27,9.32,9.15,9.25,109532000,AMZN,9.28,,41.57,18.16
2012-02-09 00:00:00+00:00,9.25,9.25,9.28,9.09,9.23,143784000,AMZN,9.27,,44.07,18.63
2012-02-10 00:00:00+00:00,9.28,9.28,9.38,9.13,9.17,115942000,AMZN,9.27,,49.4,20.79
2012-02-13 00:00:00+00:00,9.58,9.58,9.62,9.28,9.36,121428000,AMZN,9.3,,54.49,19.04
2012-02-14 00:00:00+00:00,9.56,9.56,9.68,9.31,9.55,190542000,AMZN,9.33,,53.46,19.54
2012-02-15 00:00:00+00:00,9.22,9.22,9.58,9.16,9.56,155888000,AMZN,9.32,,41.47,21.14
2012-02-16 00:00:00+00:00,9.0,9.0,9.08,8.76,8.89,251276000,AMZN,9.29,,35.8,19.22
2012-02-17 00:00:00+00:00,9.12,9.12,9.17,8.97,9.0,148362000,AMZN,9.27,,41.02,17.78
2012-02-21 00:00:00+00:00,9.11,9.11,9.24,9.03,9.13,135130000,AMZN,9.26,,38.21,18.19
2012-02-22 00:00:00+00:00,9.03,9.03,9.15,9.01,9.1,115708000,AMZN,9.24,,51.46,18.19
2012-02-23 00:00:00+00:00,8.94,8.94,9.04,8.85,8.98,103076000,AMZN,9.21,,46.26,16.8
2012-02-24 00:00:00+00:00,8.96,8.96,9.04,8.92,8.98,73374000,AMZN,9.18,,36.67,17.31
2012-02-27 00:00:00+00:00,8.93,8.93,8.96,8.82,8.88,74124000,AMZN,9.16,,41.81,18.19
2012-02-28 00:00:00+00:00,9.19,9.19,9.21,8.9,8.94,115290000,AMZN,9.16,,49.4,17.96
2012-02-29 00:00:00+00:00,8.98,8.98,9.2,8.95,9.19,106006000,AMZN,9.15,,41.77,18.43
2012-03-01 00:00:00+00:00,9.0,9.0,9.02,8.83,8.99,98720000,AMZN,9.13,,42.95,17.26
2012-03-02 00:00:00+00:00,8.97,8.97,9.09,8.95,8.97,73156000,AMZN,9.12,,41.14,17.29
2012-03-05 00:00:00+00:00,9.01,9.01,9.09,8.91,8.95,93654000,AMZN,9.11,,31.19,18.05
