Date,Adj Close,Close,High,Low,Open,Volume,company_name,20EMA,50SMA,RSI,VIX
,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,,,,,^VIX
2012-01-03 00:00:00+00:00,16.53,16.57,16.64,16.25,16.26,147611217,GOOG,16.57,,,22.97
2012-01-04 00:00:00+00:00,16.6,16.64,16.69,16.45,16.56,114989399,GOOG,16.58,,,22.22
2012-01-05 00:00:00+00:00,16.37,16.41,16.54,16.34,16.49,131808205,GOOG,16.56,,,21.48
2012-01-06 00:00:00+00:00,16.15,16.19,16.44,16.18,16.42,108119746,GOOG,16.53,,,20.63
2012-01-09 00:00:00+00:00,15.47,15.5,16.11,15.47,16.1,233776981,GOOG,16.43,,,21.07
2012-01-10 00:00:00+00:00,15.48,15.52,15.79,15.37,15.68,176483032,GOOG,16.34,,,20.69
2012-01-11 00:00:00+00:00,15.55,15.59,15.68,15.47,15.53,96359832,GOOG,16.27,,,21.05
2012-01-12 00:00:00+00:00,15.64,15.68,15.76,15.6,15.72,75289148,GOOG,16.22,,,20.47
2012-01-13 00:00:00+00:00,15.53,15.57,15.62,15.47,15.6,92637933,GOOG,16.15,,,20.91
2012-01-17 00:00:00+00:00,15.62,15.66,15.74,15.58,15.74,76658261,GOOG,16.11,,,22.2
2012-01-18 00:00:00+00:00,15.73,15.76,15.79,15.49,15.61,110882061,GOOG,16.07,,,20.89
2012-01-19 00:00:00+00:00,15.89,15.93,15.96,15.73,15.96,253157352,GOOG,16.06,,,19.87
2012-01-20 00:00:00+00:00,14.56,14.6,14.72,14.49,14.71,424637703,GOOG,15.92,,,18.28
2012-01-23 00:00:00+00:00,14.55,14.58,14.66,14.52,14.6,137027695,GOOG,15.79,,19.07,18.67
2012-01-24 00:00:00+00:00,14.43,14.47,14.64,14.4,14.6,122690156,GOOG,15.67,,18.42,18.91
2012-01-25 00:00:00+00:00,14.15,14.18,14.41,14.11,14.38,200255805,GOOG,15.53,,15.29,18.31
2012-01-26 00:00:00+00:00,14.11,14.15,14.31,14.06,14.25,129531704,GOOG,15.39,,16.19,18.57
