Date,Adj Close,Close,High,Low,Open,Volume,company_name,20EMA,50SMA,RSI,VIX
,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,^VIX
2012-01-03 00:00:00+00:00,1.87,1.87,1.97,1.84,1.93,13921500,TSLA,1.87,,,22.97
2012-01-04 00:00:00+00:00,1.85,1.85,1.91,1.83,1.88,9451500,TSLA,1.87,,,22.22
2012-01-05 00:00:00+00:00,1.81,1.81,1.86,1.79,1.85,15082500,TSLA,1.86,,,21.48
2012-01-06 00:00:00+00:00,1.79,1.79,1.85,1.76,1.81,14794500,TSLA,1.86,,,20.63
2012-01-09 00:00:00+00:00,1.82,1.82,1.83,1.74,1.8,13455000,TSLA,1.85,,,21.07
2012-01-10 00:00:00+00:00,1.84,1.84,1.85,1.82,1.83,10077000,TSLA,1.85,,,20.69
2012-01-11 00:00:00+00:00,1.88,1.88,1.89,1.82,1.84,10084500,TSLA,1.85,,,21.05
2012-01-12 00:00:00+00:00,1.88,1.88,1.91,1.85,1.9,10939500,TSLA,1.86,,,20.47
2012-01-13 00:00:00+00:00,1.52,1.52,1.9,1.51,1.89,82506000,TSLA,1.83,,,20.91
2012-01-17 00:00:00+00:00,1.77,1.77,1.82,1.76,1.77,69774000,TSLA,1.82,,,22.2
2012-01-18 00:00:00+00:00,1.79,1.79,1.79,1.75,1.78,18903000,TSLA,1.82,,,20.89
2012-01-19 00:00:00+00:00,1.78,1.78,1.85,1.77,1.81,18694500,TSLA,1.81,,,19.87
2012-01-20 00:00:00+00:00,1.77,1.77,1.8,1.76,1.79,9934500,TSLA,1.81,,,18.28
2012-01-23 00:00:00+00:00,1.78,1.78,1.81,1.77,1.79,8919000,TSLA,1.81,,44.7,18.67
2012-01-24 00:00:00+00:00,1.83,1.83,1.85,1.76,1.78,12870000,TSLA,1.81,,47.47,18.91
2012-01-25 00:00:00+00:00,1.86,1.86,1.87,1.8,1.82,9168000,TSLA,1.81,,50.98,18.31
2012-01-26 00:00:00+00:00,1.93,1.93,1.97,1.87,1.87,19066500,TSLA,1.83,,56.7,18.57
2012-01-27 00:00:00+00:00,1.96,1.96,1.98,1.9,1.9,11226000,TSLA,1.84,,58.79,18.53
2012-01-30 00:00:00+00:00,1.97,1.97,1.97,1.9,1.97,10935000,TSLA,1.85,,58.49,19.4
2012-01-31 00:00:00+00:00,1.94,1.94,2.0,1.92,1.99,14346000,TSLA,1.86,,55.26,19.44
2012-02-01 00:00:00+00:00,1.97,1.97,1.98,1.93,1.94,7848000,TSLA,1.87,,54.93,18.55
2012-02-02 00:00:00+00:00,2.02,2.02,2.06,1.97,1.98,12085500,TSLA,1.88,,56.97,17.98
2012-02-03 00:00:00+00:00,2.08,2.08,2.09,2.02,2.03,11467500,TSLA,1.9,,92.74,17.1
2012-02-06 00:00:00+00:00,2.12,2.12,2.13,2.07,2.07,9781500,TSLA,1.92,,89.27,17.76
2012-02-07 00:00:00+00:00,2.11,2.11,2.12,2.05,2.12,15324000,TSLA,1.94,,86.23,17.65
2012-02-08 00:00:00+00:00,2.13,2.13,2.13,2.09,2.11,9355500,TSLA,1.96,,87.52,18.16
2012-02-09 00:00:00+00:00,2.17,2.17,2.19,2.1,2.13,19156500,TSLA,1.98,,90.52,18.63
2012-02-10 00:00:00+00:00,2.07,2.07,2.15,1.99,2.15,28113000,TSLA,1.99,,74.91,20.79
2012-02-13 00:00:00+00:00,2.1,2.1,2.14,2.06,2.1,17368500,TSLA,2.0,,74.14,19.04
2012-02-14 00:00:00+00:00,2.21,2.21,2.25,2.09,2.12,27162000,TSLA,2.02,,77.2,19.54
2012-02-15 00:00:00+00:00,2.24,2.24,2.29,2.15,2.21,41427000,TSLA,2.04,,75.83,21.14
2012-02-16 00:00:00+00:00,2.28,2.28,2.3,2.17,2.23,33295500,TSLA,2.06,,76.33,19.22
2012-02-17 00:00:00+00:00,2.33,2.33,2.33,2.23,2.27,20650500,TSLA,2.09,,77.66,17.78
2012-02-21 00:00:00+00:00,2.3,2.3,2.32,2.25,2.32,17037000,TSLA,2.11,,77.9,18.19
2012-02-22 00:00:00+00:00,2.28,2.28,2.31,2.17,2.3,24819000,TSLA,2.12,,74.42,18.19
2012-02-23 00:00:00+00:00,2.3,2.3,2.33,2.24,2.27,12306000,TSLA,2.14,,73.41,16.8
2012-02-24 00:00:00+00:00,2.25,2.25,2.3,2.22,2.28,14398500,TSLA,2.15,,64.41,17.31
2012-02-27 00:00:00+00:00,2.24,2.24,2.27,2.2,2.23,9090000,TSLA,2.16,,60.71,18.19
2012-02-28 00:00:00+00:00,2.25,2.25,2.3,2.21,2.24,9183000,TSLA,2.17,,63.02,17.96
2012-02-29 00:00:00+00:00,2.23,2.23,2.27,2.21,2.25,8035500,TSLA,2.17,,58.64,18.43
